Landing Page,Impressions,Url Clicks,URL CTR,title,subtitle,date_published,date_updated
https://www.israelhayom.co.il/horoscopes/capricorn/article/17407415,76200,6405,0.08405511811,מזל גדי: סיכוי טוב להחליף מקום עבודה | תחזית הורוסקופ ליום חמישי,לצורך השגת מטרות מסוימות עליכם לשנס מותניים ולפעול במהירות לפני שחלון ההזדמנויות ייסגר. יש לכם סיכוי טוב להחליף מקום עבודה או למצוא את עצמכם עוברים דירה לפני שאתם מעכלים את העניין,2025-02-26T21:30:43.000Z,2025-02-27T05:16:18.000Z
https://www.israelhayom.co.il/horoscopes/pisces/article/15352667,76364,5817,0.07617463726,"יום חמישי, מזל דגים: הצלחה והגשמה יתאפשרו בקרוב",הכל פתוח ואפשרי. מעורבות רגשית גבוהה מסתירה מכם לעיתים את העובדות אולם אתם עדיין יכולים לשנות,2024-03-06T21:30:25.000Z,2024-03-10T07:45:35.000Z
https://www.israelhayom.co.il/horoscopes/capricorn/article/17531773,74618,5473,0.07334691361,מזל גדי: טפלו בנושאים השונים שלב אחר שלב | תחזית הורוסקופ ליום שני,אמינות הינה דבר מאוד חשוב לכם למרות שלא פעם נתקלתם בסיטואציה שאילצה אתכם לנהוג אחרת. הניגוד הפנימי הזה מציק לכם מאוד ועליכם להיות מוכנים לכך,2025-03-16T21:30:43.000Z,2025-03-16T21:30:43.000Z
https://www.israelhayom.co.il/horoscopes/libra/article/17397483,73624,4307,0.05849994567,"מזל מאזניים,  תחזית הורוסקופ שבועית, לשבוע של 21.02.2025 - 27.02.2025","הצורך בשינוי יניע אתכם, ותיפתחו לנושא חדש שתרצו לחקור. שמרו על ערוצים פתוחים",2025-02-20T20:30:20.000Z,2025-02-20T20:30:20.000Z
https://www.israelhayom.co.il/horoscopes/aquarius/article/15900782,72260,4257,0.05891226128,"יום רביעי, מזל דלי: אתם מרגישים שהגעתם למקום הנכון",מצבם מצוין ונמצא במגמת שיפור מתמיד. בתחום הרומנטי אתם מרגישים שהגעתם למקום הנכון ולאדם המתאים באמת,2024-06-11T20:30:39.000Z,2024-06-11T20:30:39.000Z
https://www.israelhayom.co.il/horoscopes/virgo/article/16623939,73295,5794,0.07905041272,"מזל בתולה,  תחזית הורוסקופ שבועית, לשבוע של 18.10.2024 - 24.10.2024","תתמודדו עם מצבים לא צפויים. גם אם אתם עצמאיים, תבינו שזה יביא לשינויים שישפיעו על המסגרות המשמעותיות בחייכם",2024-10-17T19:53:43.000Z,2024-10-17T19:53:43.000Z
https://www.israelhayom.co.il/horoscopes/capricorn/article/16660924,74537,6433,0.08630612984,"מזל גדי,  תחזית הורוסקופ שבועית, לשבוע של 25.10.2024 - 31.10.2024","לא תממשו את החלטותיכם במלואן. יתעורר בכם רצון להתמודד עם דברים חדשים, אך לא תרצו לפגוע בקיים",2024-10-24T19:50:23.000Z,2024-10-24T19:50:23.000Z
https://www.israelhayom.co.il/horoscopes/aries/article/16960080,73697,5976,0.08108878245,"מזל טלה,  תחזית הורוסקופ שבועית, לשבוע של 13.12.2024 - 19.12.2024","הרבה מידע שגוי או לא מדויק ייחשף בקרוב - שמרו על קשר עם המציאות ולמדו להבטיח רק דברים שתוכלו לממש, ולא דברים שהם מעבר ליכולת שלכם. בשישי תרגישו צורך להתגונן ותנסו להימנע מריגושים למיניהם",2024-12-13T07:14:04.000Z,2024-12-13T07:14:04.000Z
https://www.israelhayom.co.il/horoscopes/pisces/article/15249856,73460,5580,0.07595970596,מזל דגים: צפויה הצלחה בעבודה חדשה,מכל הבחינות מצבכם טוב כעת יותר מאשר היה קודם. הרגשות האמביוולנטיות נעלמו וישנה בהירות מסוימת שלא הייתה קיימת,2024-02-13T21:30:19.000Z,2024-02-15T08:52:42.000Z
https://www.israelhayom.co.il/horoscopes/virgo/article/16599130,74017,6633,0.08961454801,"מזל בתולה,  תחזית הורוסקופ שבועית, לשבוע של 11.10.2024 - 17.10.2024","הצורך שלכם לעשות שינוי ממשיך להשפיע עליכם, ותהיה לכם הזדמנות להרחיב את מעגל ההיכרויות שלכם. ייתכנו גם אירועים משמחים - הבעיה היא שתשתעממו די מהר ותחפשו את השינוי הבא",2024-10-11T04:47:33.000Z,2024-10-11T04:47:33.000Z
https://www.israelhayom.co.il/horoscopes/capricorn/article/15951119,72861,5685,0.07802528101,"יום ראשון, מזל גדי: סיטואציה חדשה תגרום לכם לאושר רב",אל תעצרו את עצמכם מלעשות דברים שבוערים בעצמותיכם. הסיכוי שלכם הרבה יותר גבוה ממה שאתם מעריכים,2024-06-22T20:30:11.000Z,2024-06-22T20:30:11.000Z
